Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
964,8,6660,832.5
965,7,5529,789.9
966,8,6521,815.1
967,7,6430,918.6
968,5,6210,1242.0
969,6,6332,1055.3
970,6,6165,1027.5
971,7,6509,929.9
972,6,6447,1074.5
973,6,6468,1078.0
974,7,6638,948.3
975,5,6483,1296.6
976,5,6462,1292.4
977,5,6469,1293.8
978,7,6788,969.7
979,7,6785,969.3
980,6,6610,1101.7
981,7,6802,971.7
982,7,6738,962.6
983,6,6660,1110.0
984,6,6512,1085.3
985,7,6687,955.3
986,7,6705,957.9
987,7,6712,958.9
988,7,6668,952.6
989,7,6684,954.9
990,7,6662,951.7
991,5,6423,1284.6
992,5,6499,1299.8
993,5,6561,1312.2
994,6,6770,1128.3
995,7,6777,968.1
996,8,6785,848.1
997,6,6603,1100.5
998,7,6732,961.7
999,6,6665,1110.8
1000,7,6816,973.7
1001,6,6713,1118.8
1002,7,7315,1045.0
1003,6,6750,1125.0
1004,6,6781,1130.2
1005,7,6953,993.3
1006,6,6914,1152.3
1007,7,6835,976.4
1008,6,6664,1110.7
1009,7,7221,1031.6
1010,8,7276,909.5
1011,7,7256,1036.6
1012,6,7167,1194.5
1013,6,7143,1190.5
1014,7,7251,1035.9
1015,7,7203,1029.0
1016,7,7197,1028.1
1017,7,7217,1031.0
1018,8,7238,904.8
1019,7,7170,1024.3
1020,7,7170,1024.3
1021,8,7183,897.9
1022,8,7216,902.0
1023,9,7297,810.8
1024,8,7122,890.2
1025,6,7144,1190.7
1026,7,7152,1021.7
1027,8,7201,900.1
1028,9,7369,818.8
1029,8,7360,920.0
1030,7,7270,1038.6
1031,7,7301,1043.0
1032,9,7365,818.3
1033,8,7291,911.4
1034,8,7274,909.2
1035,8,7222,902.8
1036,7,7222,1031.7
1037,8,7303,912.9
1038,8,7261,907.6
1039,9,7357,817.4
1040,8,7205,900.6
1041,8,7315,914.4
1042,8,7275,909.4
1043,9,7317,813.0
1044,9,7318,813.1
1045,8,7276,909.5
1046,9,7306,811.8
1047,7,7191,1027.3
1048,7,7191,1027.3
1049,8,7258,907.2
1050,9,7319,813.2
