Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
809,12,5756,479.7
810,11,5789,526.3
811,11,5792,526.6
812,11,5802,527.4
813,11,5803,527.6
814,11,5815,528.6
815,11,5766,524.2
816,11,5800,527.3
817,10,5771,577.1
818,10,5816,581.6
819,10,5770,577.0
820,10,5772,577.2
821,11,5776,525.1
822,10,5727,572.7
823,11,5736,521.4
824,11,5726,520.6
825,12,5781,481.8
826,11,5701,518.3
827,10,5640,564.0
828,11,5738,521.6
829,11,5755,523.2
830,10,5720,572.0
831,9,5724,636.0
832,9,5715,635.0
833,9,5713,634.8
834,9,5698,633.1
835,8,5700,712.5
836,9,5777,641.9
837,10,5845,584.5
838,10,5797,579.7
839,11,5803,527.6
840,10,5741,574.1
841,10,5801,580.1
842,11,5807,527.9
843,11,5841,531.0
844,10,5804,580.4
845,10,5778,577.8
846,10,5729,572.9
847,10,5746,574.6
848,10,5753,575.3
849,8,5683,710.4
850,9,5760,640.0
851,9,5809,645.4
852,9,5800,644.4
853,9,5772,641.3
854,10,5776,577.6
855,10,5843,584.3
856,9,5772,641.3
857,9,5798,644.2
858,8,5766,720.8
859,9,5812,645.8
860,9,5807,645.2
861,9,5852,650.2
862,9,5857,650.8
863,9,5878,653.1
864,9,5906,656.2
865,9,5847,649.7
866,9,5855,650.6
867,9,5881,653.4
868,9,5852,650.2
869,9,5874,652.7
870,9,5770,641.1
871,10,5782,578.2
872,11,5857,532.4
873,11,5833,530.3
874,10,5822,582.2
875,12,5959,496.6
876,9,5787,643.0
877,10,5858,585.8
878,10,5857,585.7
879,10,5878,587.8
880,11,5938,539.8
881,10,5860,586.0
882,9,5823,647.0
883,9,5816,646.2
884,11,5859,532.6
885,11,5873,533.9
886,10,5816,581.6
887,10,5824,582.4
888,10,5823,582.3
889,10,5856,585.6
890,10,5862,586.2
891,10,5878,587.8
892,10,5783,578.3
893,10,5797,579.7
894,10,5784,578.4
895,11,5878,534.4
896,10,5809,580.9
897,10,5799,579.9
898,11,5780,525.4
899,11,5800,527.3
900,11,5799,527.2
901,11,5784,525.8
902,10,5715,571.5
903,10,5794,579.4
904,10,5772,577.2
905,10,5808,580.8
906,10,5787,578.7
907,10,5812,581.2
908,11,5833,530.3
909,11,5845,531.4
910,11,5875,534.1
911,10,5807,580.7
912,10,5819,581.9
913,10,5788,578.8
914,10,5775,577.5
915,9,5779,642.1
916,9,5814,646.0
917,9,5814,646.0
918,9,5883,653.7
919,9,5886,654.0
920,9,5884,653.8
921,9,5923,658.1
922,10,6008,600.8
923,9,5932,659.1
924,9,5934,659.3
925,9,5936,659.6
926,10,5997,599.7
927,10,5982,598.2
928,10,5979,597.9
929,10,5983,598.3
930,9,5938,659.8
931,9,5897,655.2
932,9,5900,655.6
933,9,5920,657.8
934,9,5895,655.0
935,9,5923,658.1
936,9,5937,659.7
937,9,5903,655.9
938,9,5871,652.3
939,9,5895,655.0
