Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
627,12,5553,462.8
628,12,5617,468.1
629,13,5600,430.8
630,11,5561,505.5
631,13,5673,436.4
632,14,6198,442.7
633,12,5575,464.6
634,11,7196,654.2
635,11,7661,696.5
636,13,7998,615.2
637,11,5564,505.8
638,12,7457,621.4
639,12,7204,600.3
640,12,7200,600.0
641,12,5884,490.3
642,11,5336,485.1
643,12,7629,635.8
644,13,7878,606.0
645,14,8134,581.0
646,12,7275,606.2
647,16,8225,514.1
648,14,7860,561.4
649,12,7425,618.8
650,11,6889,626.3
651,11,7177,652.5
652,9,6636,737.3
653,9,6661,740.1
654,10,7115,711.5
655,9,7054,783.8
656,9,6637,737.4
657,9,7153,794.8
658,12,7763,646.9
659,12,7861,655.1
660,13,7891,607.0
661,11,6838,621.6
662,11,7109,646.3
663,11,7278,661.6
664,11,7180,652.7
665,12,7301,608.4
666,10,6967,696.7
667,10,7724,772.4
668,10,7323,732.3
669,11,7465,678.6
670,12,7099,591.6
671,11,7871,715.5
672,13,8261,635.5
673,13,8439,649.2
674,13,8444,649.5
675,12,7792,649.3
676,12,7827,652.2
677,10,6701,670.1
678,10,4845,484.5
679,10,4702,470.2
680,11,4772,433.8
681,11,5383,489.4
682,10,4662,466.2
683,11,4860,441.8
684,13,5153,396.4
685,11,4997,454.3
686,11,3924,356.7
687,11,3944,358.5
688,10,3753,375.3
689,14,4946,353.3
690,14,5468,390.6
691,13,5443,418.7
692,12,6638,553.2
693,12,4935,411.2
694,13,7622,586.3
695,15,7040,469.3
696,15,7278,485.2
697,15,7293,486.2
698,14,7977,569.8
699,13,6613,508.7
700,14,7209,514.9
701,13,6652,511.7
702,11,6530,593.6
703,12,6622,551.8
704,11,7317,665.2
705,15,8219,547.9
706,13,8102,623.2
707,14,8178,584.1
708,12,7283,606.9
709,14,8234,588.1
710,14,8319,594.2
711,13,8297,638.2
712,13,8356,642.8
713,14,8303,593.1
714,13,7413,570.2
715,13,7981,613.9
716,14,8035,573.9
717,13,8058,619.8
718,13,8009,616.1
719,12,8046,670.5
720,13,8720,670.8
721,13,8791,676.2
722,12,8598,716.5
723,13,8752,673.2
724,13,8635,664.2
725,13,8648,665.2
726,14,8797,628.4
727,14,8881,634.4
728,13,8916,685.8
729,12,6616,551.3
730,10,6152,615.2
731,10,6062,606.2
732,13,8758,673.7
733,12,6013,501.1
734,12,6400,533.3
735,12,6381,531.8
736,12,6360,530.0
737,10,5877,587.7
738,11,6125,556.8
739,11,5788,526.2
740,12,5822,485.2
741,12,6216,518.0
742,13,6920,532.3
743,11,5796,526.9
744,11,5744,522.2
745,11,5872,533.8
746,11,5847,531.5
747,7,4469,638.4
748,7,4398,628.3
749,7,4492,641.7
750,9,5443,604.8
751,8,4392,549.0
752,11,5483,498.5
753,9,5397,599.7
754,9,5441,604.6
755,9,5497,610.8
756,10,5471,547.1
757,12,5739,478.2
758,11,5626,511.5
759,12,5697,474.8
760,11,5641,512.8
761,9,5403,600.3
762,11,5562,505.6
763,9,5388,598.7
764,11,5721,520.1
765,9,5418,602.0
766,10,5462,546.2
767,9,5406,600.7
768,8,5106,638.2
769,8,5076,634.5
770,8,5032,629.0
771,10,5404,540.4
772,8,5041,630.1
773,10,5601,560.1
774,10,5661,566.1
775,11,5753,523.0
776,11,5855,532.3
777,10,5395,539.5
778,11,5852,532.0
779,11,6109,555.4
780,11,5974,543.1
781,12,6062,505.2
782,11,6049,549.9
783,11,5319,483.5
784,13,5778,444.5
785,11,5558,505.3
786,9,4608,512.0
787,12,5702,475.2
788,13,4536,348.9
789,11,5326,484.2
790,10,5276,527.6
791,11,5761,523.7
792,9,5165,573.9
793,9,5143,571.4
794,10,5155,515.5
795,10,4324,432.4
796,9,4263,473.7
797,11,4489,408.1
798,14,5774,412.4
799,12,5222,435.2
800,13,5286,406.6
801,14,5688,406.3
802,13,5302,407.8
803,12,5238,436.5
804,13,5292,407.1
805,13,5182,398.6
806,13,4945,380.4
807,15,5335,355.7
808,15,5346,356.4
809,13,4828,371.4
810,13,5346,411.2
811,12,4292,357.7
812,13,4836,372.0
