Frame,tube_count,total_peptides_in_tubes,avg_tube_size
810,2,112,56.0
811,2,150,75.0
812,2,113,56.5
813,3,197,65.7
814,3,219,73.0
815,0,0,0.0
816,1,56,56.0
817,0,0,0.0
818,3,175,58.3
819,0,0,0.0
820,1,56,56.0
821,3,238,79.3
822,2,126,63.0
823,3,182,60.7
824,1,63,63.0
825,0,0,0.0
826,1,97,97.0
827,0,0,0.0
828,2,139,69.5
829,2,141,70.5
830,0,0,0.0
831,2,196,98.0
832,2,194,97.0
833,1,131,131.0
834,1,63,63.0
835,2,144,72.0
836,3,204,68.0
837,2,175,87.5
838,1,63,63.0
839,0,0,0.0
840,2,133,66.5
841,2,105,52.5
842,0,0,0.0
843,1,63,63.0
844,3,232,77.3
845,1,84,84.0
846,1,84,84.0
847,2,119,59.5
848,1,78,78.0
849,0,0,0.0
850,1,91,91.0
851,2,137,68.5
852,2,189,94.5
853,1,63,63.0
854,0,0,0.0
855,1,52,52.0
856,1,65,65.0
857,1,56,56.0
858,0,0,0.0
859,3,303,101.0
860,1,119,119.0
861,0,0,0.0
862,1,66,66.0
863,1,52,52.0
864,2,110,55.0
865,1,84,84.0
866,3,217,72.3
867,1,56,56.0
868,1,63,63.0
869,0,0,0.0
870,1,56,56.0
871,1,93,93.0
872,1,175,175.0
873,2,116,58.0
874,1,56,56.0
875,1,54,54.0
876,0,0,0.0
877,3,267,89.0
878,5,290,58.0
879,1,56,56.0
880,0,0,0.0
881,1,63,63.0
882,0,0,0.0
883,0,0,0.0
884,0,0,0.0
885,2,113,56.5
886,0,0,0.0
887,1,60,60.0
888,1,69,69.0
889,1,56,56.0
890,1,98,98.0
891,0,0,0.0
892,1,182,182.0
893,2,251,125.5
894,2,126,63.0
895,1,140,140.0
896,3,296,98.7
897,2,117,58.5
898,2,119,59.5
899,2,165,82.5
900,2,140,70.0
901,0,0,0.0
902,0,0,0.0
903,0,0,0.0
904,3,262,87.3
905,4,248,62.0
906,1,70,70.0
907,2,104,52.0
908,0,0,0.0
909,2,179,89.5
910,1,63,63.0
911,2,131,65.5
912,3,217,72.3
913,4,308,77.0
914,1,56,56.0
915,2,199,99.5
916,0,0,0.0
917,0,0,0.0
918,2,161,80.5
919,1,105,105.0
920,3,232,77.3
921,1,56,56.0
922,1,51,51.0
923,1,54,54.0
924,1,98,98.0
925,1,53,53.0
926,1,55,55.0
927,3,216,72.0
928,0,0,0.0
929,1,50,50.0
930,0,0,0.0
931,2,126,63.0
932,1,70,70.0
933,1,63,63.0
934,2,132,66.0
935,2,126,63.0
936,2,140,70.0
937,3,246,82.0
938,2,110,55.0
939,1,81,81.0
