Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1522,37,3126,84.5
1523,44,3348,76.1
1524,40,3016,75.4
1525,41,3254,79.4
1526,44,3569,81.1
1527,33,3186,96.5
1528,36,2865,79.6
1529,44,3321,75.5
1530,38,2763,72.7
1531,31,2682,86.5
1532,39,3533,90.6
1533,34,2831,83.3
1534,31,2921,94.2
1535,36,3123,86.8
1536,40,3428,85.7
1537,32,2964,92.6
1538,49,3413,69.7
1539,45,3613,80.3
1540,40,2825,70.6
1541,40,2819,70.5
1542,42,3161,75.3
1543,39,3153,80.8
1544,44,3422,77.8
1545,41,3408,83.1
1546,38,3212,84.5
1547,44,3342,76.0
1548,41,2847,69.4
1549,38,3149,82.9
1550,37,3061,82.7
1551,39,2957,75.8
1552,41,3322,81.0
1553,34,2882,84.8
1554,38,3023,79.6
1555,33,2589,78.5
1556,39,2933,75.2
1557,34,2561,75.3
1558,30,2628,87.6
1559,39,2867,73.5
1560,35,2454,70.1
1561,35,2729,78.0
1562,34,2899,85.3
1563,43,3076,71.5
1564,40,3103,77.6
1565,44,3555,80.8
1566,43,3188,74.1
1567,40,3394,84.8
1568,37,2730,73.8
1569,39,2856,73.2
1570,40,3063,76.6
1571,43,2987,69.5
1572,43,3129,72.8
1573,42,3316,79.0
1574,41,3180,77.6
1575,39,3085,79.1
1576,34,2896,85.2
1577,40,3103,77.6
1578,45,3454,76.8
1579,38,2844,74.8
1580,35,2559,73.1
1581,34,2665,78.4
1582,40,3090,77.2
1583,46,3226,70.1
1584,39,2824,72.4
1585,42,2974,70.8
1586,40,2965,74.1
1587,43,2820,65.6
1588,39,2765,70.9
1589,45,3141,69.8
1590,40,3061,76.5
1591,43,2905,67.6
1592,40,2832,70.8
1593,43,2983,69.4
1594,39,3191,81.8
1595,36,2493,69.2
1596,44,3463,78.7
1597,40,3306,82.6
1598,44,3265,74.2
1599,42,2749,65.5
1600,48,3632,75.7
1601,38,2706,71.2
1602,37,2673,72.2
1603,41,3009,73.4
1604,50,3305,66.1
1605,39,2945,75.5
1606,41,3108,75.8
1607,39,2901,74.4
1608,40,3197,79.9
1609,39,3094,79.3
1610,36,2844,79.0
1611,38,3051,80.3
1612,31,2354,75.9
1613,35,2937,83.9
1614,46,3326,72.3
1615,44,3265,74.2
1616,32,2589,80.9
1617,43,3458,80.4
1618,36,3077,85.5
1619,39,2887,74.0
1620,33,2511,76.1
1621,33,2629,79.7
1622,40,3176,79.4
1623,39,3360,86.2
1624,34,2976,87.5
1625,43,3326,77.3
1626,41,3279,80.0
1627,36,2860,79.4
1628,34,2713,79.8
1629,43,3318,77.2
1630,39,3278,84.1
1631,38,2846,74.9
1632,39,2952,75.7
1633,36,3211,89.2
1634,43,3514,81.7
1635,38,3132,82.4
1636,33,2891,87.6
1637,30,2291,76.4
1638,32,2623,82.0
