Frame,shape,pathway
11525,sheet,sheet->vesicle
11526,fiber,fiber-only
11527,sheet,sheet->vesicle
11528,fiber,fiber-only
11529,fiber,fiber-only
11530,fiber,fiber-only
11531,fiber,fiber-only
11532,fiber,fiber-only
11533,fiber,fiber-only
11534,fiber,fiber-only
11535,fiber,fiber-only
11536,fiber,fiber-only
11537,fiber,fiber-only
11538,fiber,fiber-only
11539,fiber,fiber-only
11540,fiber,fiber-only
11541,fiber,fiber-only
11542,fiber,fiber-only
11543,fiber,fiber-only
11544,fiber,fiber-only
11545,fiber,fiber-only
11546,fiber,fiber-only
11547,fiber,fiber-only
11548,fiber,fiber-only
11549,sheet,sheet->vesicle
11550,fiber,fiber-only
11551,fiber,fiber-only
11552,fiber,fiber-only
