Frame,dominant_state
1468,vesicle
1469,vesicle
1470,vesicle
1471,vesicle
1472,vesicle
1473,vesicle
1474,vesicle
1475,vesicle
1476,tube
1477,vesicle
1478,vesicle
1479,vesicle
1480,vesicle
1481,vesicle
1482,vesicle
1483,vesicle
1484,vesicle
1485,vesicle
1486,tube
1487,tube
1488,vesicle
1489,vesicle
1490,vesicle
1491,vesicle
1492,vesicle
1493,vesicle
1494,vesicle
1495,vesicle
1496,vesicle
1497,vesicle
1498,vesicle
1499,vesicle
1500,vesicle
1501,vesicle
1502,vesicle
1503,vesicle
1504,vesicle
1505,vesicle
1506,vesicle
1507,vesicle
1508,vesicle
1509,vesicle
1510,vesicle
1511,vesicle
1512,vesicle
1513,vesicle
1514,vesicle
1515,vesicle
1516,vesicle
1517,vesicle
1518,vesicle
1519,vesicle
1520,vesicle
1521,vesicle
1522,vesicle
1523,vesicle
1524,vesicle
1525,vesicle
1526,vesicle
1527,vesicle
1528,vesicle
1529,vesicle
1530,vesicle
1531,vesicle
1532,vesicle
1533,vesicle
1534,vesicle
1535,vesicle
1536,vesicle
1537,vesicle
1538,vesicle
1539,vesicle
1540,vesicle
1541,vesicle
1542,vesicle
1543,vesicle
1544,vesicle
1545,vesicle
1546,vesicle
1547,vesicle
1548,vesicle
1549,vesicle
1550,vesicle
1551,vesicle
1552,vesicle
1553,vesicle
1554,vesicle
1555,vesicle
1556,vesicle
1557,vesicle
1558,vesicle
1559,vesicle
1560,vesicle
1561,vesicle
1562,vesicle
1563,vesicle
1564,vesicle
1565,vesicle
1566,vesicle
1567,vesicle
1568,vesicle
1569,vesicle
1570,vesicle
1571,vesicle
1572,vesicle
1573,vesicle
1574,vesicle
1575,vesicle
1576,vesicle
1577,vesicle
1578,vesicle
1579,tube
1580,vesicle
1581,vesicle
1582,vesicle
1583,vesicle
1584,vesicle
1585,vesicle
1586,vesicle
1587,vesicle
1588,vesicle
1589,vesicle
1590,vesicle
1591,tube
1592,vesicle
1593,vesicle
1594,vesicle
1595,vesicle
1596,vesicle
1597,vesicle
1598,vesicle
1599,vesicle
1600,vesicle
1601,vesicle
1602,vesicle
1603,vesicle
1604,vesicle
1605,vesicle
1606,vesicle
1607,vesicle
1608,vesicle
1609,vesicle
1610,vesicle
1611,vesicle
1612,vesicle
1613,vesicle
1614,vesicle
1615,vesicle
1616,vesicle
1617,vesicle
1618,vesicle
1619,vesicle
1620,vesicle
1621,vesicle
1622,vesicle
1623,vesicle
1624,vesicle
1625,vesicle
1626,vesicle
1627,vesicle
1628,vesicle
1629,vesicle
1630,vesicle
1631,tube
1632,vesicle
1633,vesicle
1634,vesicle
1635,vesicle
1636,vesicle
1637,vesicle
1638,vesicle
1639,vesicle
1640,vesicle
1641,vesicle
1642,vesicle
1643,vesicle
1644,vesicle
1645,vesicle
1646,vesicle
1647,vesicle
1648,vesicle
1649,vesicle
1650,vesicle
1651,vesicle
1652,vesicle
1653,vesicle
1654,vesicle
1655,vesicle
1656,vesicle
1657,vesicle
1658,vesicle
1659,vesicle
1660,vesicle
1661,vesicle
1662,tube
1663,vesicle
1664,vesicle
1665,vesicle
1666,vesicle
1667,vesicle
1668,vesicle
1669,vesicle
1670,vesicle
1671,vesicle
1672,vesicle
1673,vesicle
1674,vesicle
1675,vesicle
1676,vesicle
1677,vesicle
1678,vesicle
1679,vesicle
1680,vesicle
1681,vesicle
1682,vesicle
1683,vesicle
1684,vesicle
1685,vesicle
1686,vesicle
1687,vesicle
1688,vesicle
1689,vesicle
1690,vesicle
1691,vesicle
1692,vesicle
1693,vesicle
1694,vesicle
1695,vesicle
1696,vesicle
1697,vesicle
1698,vesicle
1699,vesicle
1700,vesicle
1701,vesicle
1702,vesicle
1703,vesicle
1704,vesicle
1705,vesicle
1706,vesicle
1707,vesicle
1708,vesicle
1709,vesicle
1710,vesicle
1711,vesicle
1712,vesicle
1713,vesicle
1714,vesicle
1715,vesicle
1716,vesicle
1717,vesicle
1718,vesicle
1719,vesicle
1720,vesicle
1721,vesicle
1722,vesicle
1723,vesicle
1724,vesicle
1725,vesicle
1726,vesicle
1727,vesicle
1728,vesicle
1729,vesicle
1730,vesicle
1731,vesicle
1732,vesicle
1733,vesicle
1734,vesicle
1735,vesicle
1736,vesicle
1737,vesicle
1738,vesicle
1739,vesicle
1740,vesicle
1741,vesicle
1742,vesicle
1743,vesicle
1744,vesicle
1745,vesicle
1746,vesicle
1747,vesicle
1748,vesicle
1749,vesicle
1750,vesicle
1751,vesicle
1752,vesicle
1753,vesicle
1754,vesicle
1755,vesicle
1756,vesicle
1757,vesicle
1758,vesicle
1759,vesicle
1760,vesicle
1761,vesicle
1762,vesicle
1763,vesicle
1764,vesicle
1765,vesicle
1766,vesicle
1767,vesicle
1768,vesicle
1769,vesicle
1770,vesicle
1771,vesicle
1772,vesicle
1773,vesicle
1774,vesicle
1775,vesicle
1776,vesicle
1777,vesicle
1778,vesicle
1779,vesicle
1780,vesicle
1781,vesicle
1782,vesicle
1783,vesicle
1784,vesicle
1785,vesicle
1786,vesicle
1787,vesicle
1788,vesicle
1789,vesicle
1790,vesicle
1791,vesicle
1792,vesicle
1793,vesicle
1794,vesicle
1795,vesicle
1796,vesicle
1797,vesicle
1798,vesicle
1799,vesicle
1800,vesicle
1801,vesicle
1802,vesicle
1803,vesicle
1804,vesicle
1805,vesicle
1806,vesicle
1807,vesicle
1808,vesicle
1809,vesicle
1810,vesicle
1811,vesicle
1812,vesicle
1813,vesicle
1814,vesicle
1815,vesicle
1816,vesicle
1817,vesicle
1818,vesicle
1819,vesicle
1820,vesicle
1821,vesicle
1822,vesicle
1823,vesicle
1824,vesicle
1825,vesicle
1826,vesicle
1827,vesicle
1828,vesicle
1829,vesicle
1830,vesicle
1831,vesicle
1832,vesicle
1833,vesicle
1834,vesicle
1835,vesicle
1836,vesicle
1837,vesicle
1838,vesicle
1839,vesicle
1840,vesicle
1841,vesicle
1842,vesicle
1843,vesicle
1844,vesicle
1845,vesicle
1846,vesicle
1847,vesicle
1848,vesicle
1849,vesicle
1850,vesicle
1851,vesicle
1852,vesicle
1853,vesicle
1854,vesicle
1855,vesicle
1856,vesicle
1857,vesicle
1858,vesicle
1859,vesicle
1860,vesicle
1861,vesicle
1862,vesicle
1863,vesicle
1864,vesicle
1865,vesicle
1866,vesicle
1867,vesicle
1868,vesicle
1869,vesicle
1870,vesicle
1871,vesicle
1872,vesicle
1873,vesicle
1874,vesicle
1875,vesicle
1876,vesicle
1877,vesicle
1878,vesicle
1879,vesicle
1880,vesicle
1881,vesicle
1882,vesicle
1883,vesicle
1884,vesicle
1885,vesicle
1886,vesicle
1887,vesicle
1888,vesicle
1889,vesicle
1890,vesicle
1891,vesicle
1892,vesicle
1893,vesicle
1894,vesicle
1895,vesicle
1896,vesicle
1897,vesicle
1898,vesicle
1899,vesicle
1900,vesicle
1901,vesicle
1902,vesicle
1903,vesicle
1904,vesicle
1905,vesicle
1906,vesicle
1907,vesicle
1908,vesicle
1909,vesicle
1910,vesicle
1911,vesicle
1912,vesicle
1913,vesicle
1914,vesicle
1915,vesicle
1916,vesicle
1917,vesicle
1918,vesicle
1919,vesicle
